Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
11.2,John Brown,BUF,,,,,,,,,,,,,0,0,,,,11.2
3.7,Braylon Sanders,MIA,,,,,,,,3.7,,,,,,,0,0,,
81,Hunter Renfrow,LV,5.1,12.9,,,6.5,,8.5,1.6,5.6,,,,,,2.4,14.2,4.9,19.3
122.4,Marquez Valdes-Scantling,KC,8.1,3.3,8.8,9.3,15,0,14.1,,2.2,15,2.8,9.6,9.1,3,11.6,0,4.8,5.7
4.8,Jaelon Darden,CLV,0.2,0,3.5,0,0,,1.1,,,,,,,,,,0,0
224.8,Chris Godwin,TB,6.5,,,12.9,12.3,15.5,11.5,13.5,10.7,19.1,,29,14.3,10.4,22.3,14.3,21,11.5
2.7,Juwann Winfree,GB,2.7,,0,,,0,,,,,,,,,,,,
86.4,Quez Watkins,PHI,0,14.9,0,0,4.9,0.7,,0,4.5,12,11.1,12.5,8.7,5.9,4.9,2.9,0,3.4
0,Rashard Higgins,CAR,,,0,0,,,,,,,,,,,,,,
82.6,Jauan Jennings,SF,10.2,1.4,1.5,4.2,6.5,3.8,4.4,,,8,0,16.9,5.4,1.5,6.1,4.1,6.6,2
316.6,Stefon Diggs,BUF,26.2,44.8,14.4,10.2,24.2,30.8,,22.8,14.3,24.8,14.8,21.7,22.2,6.7,10.7,4.6,,23.4
5.4,Simi Fehoko,DAL,3.2,0,2.2,0,0,,,,,,,,,,,,,
241.3,Tyler Lockett,SEA,5.8,19.7,16.6,15.1,27.4,3.7,11.5,17.3,17.7,13.2,,15.8,27.8,17,13.8,,3.5,15.4
163.1,Donovan Peoples-Jones,CLV,12,0,2,12.1,9,11.6,13.1,12.1,,14.9,17.1,3.6,7.4,19.4,13.1,1.2,8.3,6.2
40.1,Velus Jones Jr.,CHI,,,,,7.9,2.8,0,4.8,,,0,0.6,0.1,,1.4,7.2,1.3,14
105.4,Michael Gallup,DAL,,,,10.4,8.4,3.8,0,8.9,,7.5,7.1,11.3,18.3,6,1.2,13.6,6.9,2
